Jogador,Idade,Selecao,Posicao,Time,URL
Ko Itakura,25,Japan,DF,DE M'Gladbach,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Hiroki Ito,23,Japan,DF,DE Stuttgart,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Junya Ito,29,Japan,FWMF,FR Reims,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Nicolas Jackson,21,Senegal,FW,ES Villarreal,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Lee Jae-sung,30,Korea Republic,MF,DE Mainz 05,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Alireza Jahanbakhsh,29,IR Iran,MF,NL Feyenoord,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Ismail Jakobs,23,Senegal,DF,FR Monaco,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Abolfazl Jalali,24,IR Iran,DF,IR Esteghlal,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Daniel James,25,Wales,FWMF,ENG Fulham,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Vincent Janssen,28,Netherlands,FW,BE Antwerp,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Kevin Jauch,30,Ecuador,FW,EC CA Santo Domingo,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Issam Jebali,30,Tunisia,FW,DK Odense,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Mathias Jensen,26,Denmark,MF,ENG Brentford,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Gabriel Jesus,25,Brazil,FW,ENG Arsenal,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Raúl Jiménez,31,Mexico,FWDF,ENG Wolves,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Kim Jin-su,30,Korea Republic,DF,KR Jeonbuk,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Brennan Johnson,21,Wales,FWMF,ENG Nott'ham Forest,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Alistair Johnston,24,Canada,DF,US CF Montréal,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Frenkie de Jong,25,Netherlands,MF,ES Barcelona,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Son Jun-ho,30,Korea Republic,MF,CN Shandong Lunen,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Vinicius Júnior,22,Brazil,FW,ES Real Madrid,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Josip Juranović,27,Croatia,DF,SCT Celtic,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Daichi Kamada,26,Japan,MFFW,DE Eint Frankfurt,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Jakub Kamiński,20,Poland,MF,DE Wolfsburg,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Hossein Kanaanizadegan,28,IR Iran,DF,QA Al Ahli SC,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Harry Kane,29,England,FW,ENG Tottenham,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Lee Kangin,21,Korea Republic,MFFW,ES Mallorca,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Mohamed Kanno,28,Saudi Arabia,MF,SA Al-Hilal,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Fran Karačić,26,Australia,DF,IT Brescia,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Ali Karimi,28,IR Iran,MF,TR Kayserispor,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Wajdi Kechrida,27,Tunisia,DF,GR Atromitos,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Thilo Kehrer,26,Germany,DF,ENG West Ham,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Wahbi Khazri,31,Tunisia,MF,FR Montpellier,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Musab Kheder,29,Qatar,DF,QA Al Sadd SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Boualem Khoukhi,32,Qatar,DF,QA Al Sadd SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Joshua Kimmich,27,Germany,MF,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Jakub Kiwior,22,Poland,DF,IT Spezia,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Simon Kjær,33,Denmark,DF,IT Milan,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Davy Klaassen,29,Netherlands,MFFW,NL Ajax,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Lukas Klostermann,26,Germany,DF,DE RB Leipzig,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Koke,30,Spain,MF,ES Atlético Madrid,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Ibrahima Konaté,23,France,DF,ENG Liverpool,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Ismaël Koné,20,Canada,MF,US CF Montréal,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Teun Koopmeiners,24,Netherlands,MF,IT Atalanta,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Filip Kostić,30,Serbia,DFFW,IT Juventus,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Kalidou Koulibaly,31,Senegal,DF,ENG Chelsea,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Jules Koundé,24,France,DF,ES Barcelona,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Cheikhou Kouyaté,32,Senegal,MF,ENG Nott'ham Forest,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Mateo Kovačić,28,Croatia,MF,ENG Chelsea,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Andrej Kramarić,31,Croatia,FW,DE Hoffenheim,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Grzegorz Krychowiak,32,Poland,MF,SA Al-Shabab,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Takefusa Kubo,21,Japan,FW,ES Real Sociedad,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Pierre Kunde,27,Cameroon,MF,GR Olympiacos,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Garang Kuol,18,Australia,MF,AU Central Coast,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Daniel Kyereh,26,Ghana,MFDF,DE Freiburg,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Kwon Kyung-won,30,Korea Republic,DF,JP Gamba Osaka,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Aïssa Laïdouni,25,Tunisia,MF,HU Ferencváros,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Tariq Lamptey,22,Ghana,DF,ENG Brighton,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Aymeric Laporte,28,Spain,DF,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Cyle Larin,27,Canada,FW,BE Club Brugge,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Richie Laryea,27,Canada,DF,US Toronto FC,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Darko Lazović,32,Serbia,DF,IT Hellas Verona,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Rafael Leão,23,Portugal,FW,IT Milan,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Mathew Leckie,31,Australia,MF,AU Melb City,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Robert Lewandowski,34,Poland,FW,ES Barcelona,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Matthijs de Ligt,23,Netherlands,DF,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Jesper Lindstrøm,22,Denmark,MFFW,DE Eint Frankfurt,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Marko Livaja,29,Croatia,FW,HR Hajduk Split,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Dominik Livaković,27,Croatia,GK,HR Dinamo Zagreb,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Hugo Lloris,35,France,GK,ENG Tottenham,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Dejan Lovren,33,Croatia,DF,RU Zenit,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Hirving Lozano,27,Mexico,FW,IT Napoli,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Romelu Lukaku,29,Belgium,FW,IT Inter,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Saša Lukić,26,Serbia,MF,IT Torino,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Awer Mabil,27,Australia,MF,ES Cádiz,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Alexis Mac Allister,23,Argentina,MF,ENG Brighton,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Jamie Maclaren,29,Australia,FW,AU Melb City,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Assim Madibo,26,Qatar,MF,QA Al Duhail SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Daizen Maeda,25,Japan,FW,SCT Celtic,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Harry Maguire,29,England,DF,ENG Manchester Utd,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Lovro Majer,24,Croatia,MF,FR Rennes,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Nemanja Maksimović,27,Serbia,MF,ES Getafe,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Abdulellah Al-Malki,28,Saudi Arabia,MF,SA Al-Hilal,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
José María Giménez,27,Uruguay,DF,ES Atlético Madrid,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
João Mário,29,Portugal,FW,PT Benfica,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Marquinhos,28,Brazil,DF,FR Paris S-G,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Henry Martín,30,Mexico,FW,MX América,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Martinelli,21,Brazil,FW,ENG Arsenal,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Carlos Martínez,23,Costa Rica,DF,CR AD San Carlos,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Emiliano Martínez,30,Argentina,GK,ENG Aston Villa,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Lautaro Martínez,25,Argentina,FW,IT Inter,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Lisandro Martínez,24,Argentina,DF,ENG Manchester Utd,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Pape Matar Sarr,20,Senegal,MF,ENG Tottenham,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Rónald Matarrita,28,Costa Rica,DF,US FC Cincinnati,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Eric Maxim Choupo-Moting,33,Cameroon,FW,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Noussair Mazraoui,25,Morocco,DF,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Kylian Mbappé,23,France,FW,FR Paris S-G,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Bryan Mbeumo,23,Cameroon,FWMF,ENG Brentford,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Riley McGree,24,Australia,MFFW,ENG Middlesbrough,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Weston McKennie,24,United States,MF,IT Juventus,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Hannibal Mejbri,19,Tunisia,MF,ENG Birmingham City,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Nuno Mendes,20,Portugal,DF,FR Paris S-G,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Jhegson Méndez,25,Ecuador,MF,US Los Angeles FC,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Edouard Mendy,30,Senegal,GK,ENG Chelsea,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Nampalys Mendy,30,Senegal,MF,ENG Leicester City,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Gideon Mensah,24,Ghana,DF,FR Auxerre,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Chris Mepham,25,Wales,DF,ENG Bournemouth,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Yassine Meriah,29,Tunisia,DF,TN Espérance de Tunis,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Dries Mertens,35,Belgium,FWMF,TR Galatasaray,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Lionel Messi,35,Argentina,FW,FR Paris S-G,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Thomas Meunier,31,Belgium,DF,DE Dortmund,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Nikola Milenković,25,Serbia,DF,IT Fiorentina,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Arkadiusz Milik,28,Poland,FWMF,IT Juventus,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Sergej Milinković-Savić,27,Serbia,MF,IT Lazio,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Vanja Milinković-Savić,25,Serbia,GK,IT Torino,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Éder Militão,24,Brazil,DF,ES Real Madrid,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Liam Millar,23,Canada,DF,CH Basel,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Kamal Miller,25,Canada,DF,US CF Montréal,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Kim Min-jae,26,Korea Republic,DF,IT Napoli,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Takumi Minamino,27,Japan,FW,FR Monaco,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Kaoru Mitoma,25,Japan,MF,ENG Brighton,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Aleksandar Mitrović,28,Serbia,FW,ENG Fulham,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Stefan Mitrović,32,Serbia,DF,ES Getafe,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Filip Mladenović,31,Serbia,DF,PL Legia Warsaw,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Luka Modrić,37,Croatia,MF,ES Real Madrid,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Ismail Mohamad,32,Qatar,FW,QA Al Duhail SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Milad Mohammadi,29,IR Iran,DF,GR AEK Athens,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Kudus Mohammed,22,Ghana,FWMF,NL Ajax,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Sadegh Moharrami,26,IR Iran,DF,HR Dinamo Zagreb,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Nahuel Molina,24,Argentina,DF,ES Atlético Madrid,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
César Montes,25,Mexico,DF,MX Monterrey,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Gonzalo Montiel,25,Argentina,DF,ES Sevilla,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Kim Moonhwan,27,Korea Republic,DF,KR Jeonbuk,https://www.worldometers.info//img/flags/small/tn_ks-flag.gif
Kieffer Moore,30,Wales,FW,ENG Bournemouth,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Shaquell Moore,26,United States,DF,US Nashville,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Aaron Mooy,32,Australia,MF,SCT Celtic,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Álvaro Morata,30,Spain,FW,ES Atlético Madrid,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Héctor Moreno,34,Mexico,DF,MX Monterrey,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Hidemasa Morita,27,Japan,MF,PT Sporting CP,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Joe Morrell,25,Wales,MF,ENG Portsmouth,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Jordan Morris,28,United States,FW,US Seattle,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Youssoufa Moukoko,18,Germany,FW,DE Dortmund,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Mason Mount,23,England,MF,ENG Chelsea,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Youssef Msakni,32,Tunisia,MFFW,QA Al-Arabi SC,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Thomas Müller,33,Germany,FWMF,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Munir,33,Morocco,GK,SA Al-Wehda,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Mohammed Muntari,28,Qatar,FWMF,QA Al Duhail SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Yunus Musah,20,United States,MF,ES Valencia,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Jamal Musiala,19,Germany,FWMF,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Joakim Mæhle,25,Denmark,DF,IT Atalanta,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Georges-Kévin N'Koudou,27,Cameroon,FWMF,TR Beşiktaş,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Yuto Nagatomo,36,Japan,DFMF,JP FC Tokyo,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Sami Al-Najei,25,Saudi Arabia,MF,SA Al-Nassr,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Keylor Navas,35,Costa Rica,GK,FR Paris S-G,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Iliman Ndiaye,22,Senegal,FW,ENG Sheffield Utd,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Victor Nelsson,24,Denmark,DF,TR Galatasaray,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Manuel Neuer,36,Germany,GK,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Rúben Neves,25,Portugal,MF,ENG Wolves,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Neymar,30,Brazil,MF,FR Paris S-G,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Moumi Ngamaleu,28,Cameroon,FW,RU Dynamo Mosc,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Rasmus Nissen,25,Denmark,DF,ENG Leeds United,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Nicolas Nkoulou,32,Cameroon,DF,GR Aris,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Andries Noppert,28,Netherlands,GK,NL Heerenveen,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Ahmad Nourollahi,29,IR Iran,MF,AE Al-Ahli Dubai FC,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Matheus Nunes,24,Portugal,MF,ENG Wolves,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Darwin Núñez,23,Uruguay,FW,ENG Liverpool,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Christian Nørgaard,28,Denmark,MF,ENG Brentford,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Guillermo Ochoa,37,Mexico,GK,MX América,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Denis Odoi,34,Ghana,DF,BE Club Brugge,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Noah Okafor,22,Switzerland,FW,AT RB Salzburg,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Mathías Olivera,25,Uruguay,DF,IT Napoli,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Dani Olmo,24,Spain,FW,DE RB Leipzig,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Amadou Onana,21,Belgium,MF,ENG Everton,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
André Onana,26,Cameroon,GK,IT Inter,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Gaël Ondoua,27,Cameroon,MF,DE Hannover 96,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Loïs Openda,22,Belgium,FW,FR Lens,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Mislav Oršić,29,Croatia,FW,HR Dinamo Zagreb,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Jonathan Osorio,30,Canada,MFFW,US Toronto FC,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Nicolás Otamendi,34,Argentina,DF,PT Benfica,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Otávio,27,Portugal,MF,PT Porto,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Samuel Oum Gouet,24,Cameroon,MF,BE Mechelen,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Azzedine Ounahi,22,Morocco,MF,FR Angers,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Bryan Oviedo,32,Costa Rica,DF,US Real Salt Lake,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Mohammed Al-Owais,31,Saudi Arabia,GK,SA Al-Hilal,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Exequiel Palacios,24,Argentina,MF,DE Leverkusen,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
João Palhinha,27,Portugal,MF,ENG Fulham,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Lucas Paquetá,25,Brazil,MF,ENG West Ham,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Leandro Paredes,28,Argentina,MF,IT Juventus,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Thomas Partey,29,Ghana,MF,ENG Arsenal,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Mario Pašalić,27,Croatia,FWMF,IT Atalanta,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Benjamin Pavard,26,France,DF,DE Bayern Munich,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Strahinja Pavlović,21,Serbia,DF,AT RB Salzburg,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Pedri,20,Spain,MF,ES Barcelona,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Facundo Pellistri,20,Uruguay,FWMF,ENG Manchester Utd,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Pepe,39,Portugal,DF,PT Porto,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Danilo Pereira,31,Portugal,DF,FR Paris S-G,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Ivan Perišić,33,Croatia,FW,ENG Tottenham,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Bruno Petković,28,Croatia,FW,HR Dinamo Zagreb,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Kalvin Phillips,26,England,MF,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Krzysztof Piątek,27,Poland,FW,IT Salernitana,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Jordan Pickford,28,England,GK,ENG Everton,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Gonzalo Plata,22,Ecuador,MFFW,ES Valladolid,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Jackson Porozo,22,Ecuador,DF,FR Troyes,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Morteza Pouraliganji,30,IR Iran,DF,IR Persepolis,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Ángelo Preciado,24,Ecuador,DF,BE Genk,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Christian Pulisic,24,United States,FWMF,ENG Chelsea,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Adrien Rabiot,27,France,MF,IT Juventus,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Nemanja Radonjić,26,Serbia,DFFW,IT Torino,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Baba Rahman,28,Ghana,DF,ENG Reading,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Gonçalo Ramos,21,Portugal,FW,PT Benfica,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Aaron Ramsey,31,Wales,MF,FR Nice,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Raphinha,25,Brazil,FW,ES Barcelona,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Marcus Rashford,25,England,FW,ENG Manchester Utd,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
David Raum,24,Germany,DF,DE RB Leipzig,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Bassam Al-Rawi,24,Qatar,DF,QA Al Duhail SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Tim Ream,35,United States,DF,ENG Fulham,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Djorkaeff Reasco,23,Ecuador,FW,AR Newell's OB,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
Gio Reyna,20,United States,FW,DE Dortmund,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Ramin Rezaeian,32,IR Iran,DF,IR Sepahan,https://www.worldometers.info//img/flags/small/tn_ir-flag.gif
Declan Rice,23,England,MF,ENG West Ham,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
Richarlison,25,Brazil,FW,ENG Tottenham,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Fabian Rieder,20,Switzerland,FW,CH Young Boys,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Ró-Ró,32,Qatar,DF,QA Al Sadd SC,https://www.worldometers.info//img/flags/small/tn_qa-flag.gif
Connor Roberts,27,Wales,DF,ENG Burnley,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Antonee Robinson,25,United States,DF,ENG Fulham,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Sergio Rochet,29,Uruguay,GK,UY Nacional,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Joe Rodon,25,Wales,DF,FR Rennes,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif
Rodri,26,Spain,DF,ENG Manchester City,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Charly Rodríguez,25,Mexico,MF,MX Cruz Azul,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Guido Rodríguez,28,Argentina,MF,ES Betis,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Ricardo Rodríguez,30,Switzerland,DF,IT Torino,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Rodrygo,21,Brazil,MF,ES Real Madrid,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Cristian Romero,24,Argentina,DF,ENG Tottenham,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Cristiano Ronaldo,37,Portugal,FW,ENG Manchester Utd,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Marten de Roon,31,Netherlands,MF,IT Atalanta,https://www.worldometers.info//img/flags/small/tn_nl-flag.gif
Kye Rowles,24,Australia,DF,SCT Hearts,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Antonio Rüdiger,29,Germany,DF,ES Real Madrid,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Bryan Ruiz,37,Costa Rica,MF,CR Liga Deportiva Alajuelense,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Mathew Ryan,30,Australia,GK,DK FC Copenhagen,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Youssouf Sabaly,29,Senegal,DF,ES Betis,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
